Suburb,Sale_Price,Bedrooms,Bathrooms,Parking,Property_Type,Floor_Area_m2,Sale_Date,Address,Source
Liverpool,610000,2,2,1,Unit,NA,12 Aug 2026,"805/311 Hume Highway, Liverpool",realestate.com.au
Liverpool,770000,3,1,1,Townhouse,178,03 Sep 2026,"3/1 Stanton Street, Liverpool",realestate.com.au
Liverpool,410000,1,1,1,Apartment,NA,28 Aug 2026,"42/87-91 Campbell Street, Liverpool",realestate.com.au
Liverpool,423000,2,1,1,Unit,NA,27 Aug 2026,"9/53 Goulburn Street, Liverpool",realestate.com.au
Liverpool,570000,2,2,1,Apartment,NA,25 Aug 2026,"503/311 Hume Highway, Liverpool",realestate.com.au
Canterbury,900000,2,1,1,Apartment,NA,11 Jul 2026,"37/10-12 Broughton Street, Canterbury",realestate.com.au
Canterbury,1305000,2,1,1,House,290.9,03 Jul 2026,"11 Ward Avenue, Canterbury",realestate.com.au
Canterbury,685000,2,2,1,Apartment,NA,25 Jul 2026,"14/231-235 Canterbury Road, Canterbury",realestate.com.au
Canterbury,714000,2,2,1,Apartment,NA,24 Jul 2026,"314/364 Canterbury Rd, Canterbury",realestate.com.au
Canterbury,715000,2,2,1,Unit,129,17 Aug 2026,"9/1 Cooks Avenue, Canterbury",realestate.com.au
Canterbury,745000,2,2,1,Apartment,NA,14 Aug 2026,"114/211 Canterbury Road, Canterbury",realestate.com.au
Canterbury,2220000,3,2,2,House,436.3,13 Aug 2026,"43 Howard Street, Canterbury",realestate.com.au
Canterbury,1700000,2,1,1,House,430,05 Sep 2026,"17 Onslow Street, Canterbury",realestate.com.au
Canterbury,880000,1,1,1,Apartment,NA,02 Sep 2026,"55/20 Close Street, Canterbury",realestate.com.au
Canterbury,1000000,2,1,1,Apartment,114,24 Aug 2026,"10/22-26 Phillips Avenue, Canterbury",realestate.com.au
Canterbury,720000,2,1,1,Unit,NA,24 Aug 2026,"8/13 Dibbs St, Canterbury",realestate.com.au
Canterbury,1110000,2,1,1,Apartment,NA,18 May 2026,"5/35-37 Jeffrey Street, Canterbury",realestate.com.au
Canterbury,510000,1,1,1,Apartment,NA,15 May 2026,"10/16 Northcote Street, Canterbury",realestate.com.au
Canterbury,2425000,5,3,2,House,NA,12 May 2026,"5b Cooks Avenue, Canterbury",realestate.com.au
Canterbury,2470000,4,3,4,House,363,09 May 2026,"20 Allen Street, Canterbury",realestate.com.au
Canterbury,795000,2,2,1,Apartment,121,08 May 2026,"817/2D Charles Street, Canterbury",realestate.com.au
Canterbury,826500,2,2,2,Apartment,NA,02 May 2026,"407/243 Canterbury Road, Canterbury",realestate.com.au
Canterbury,790000,2,2,1,Apartment,111,30 Apr 2026,"23/4 Charles Street, Canterbury",realestate.com.au
Canterbury,2700000,3,2,2,House,682.9,29 Apr 2026,"4 Mons Street, Canterbury",realestate.com.au
Canterbury,1805000,4,2,3,House,481,29 Apr 2026,"20 Page Street, Canterbury",realestate.com.au
Canterbury,750000,2,2,1,Apartment,NA,29 Apr 2026,"6/1 Cooks Avenue, Canterbury",realestate.com.au
Canterbury,730000,2,2,2,Apartment,114,29 Apr 2026,"412/364 Canterbury Road (Access via Onslow St), Canterbury",realestate.com.au
Canterbury,510000,1,1,1,Apartment,81,29 Apr 2026,"204/364 Canterbury Road, Canterbury",realestate.com.au
Canterbury,1185000,2,1,1,Townhouse,175,24 Apr 2026,"5/68 Church Street, Canterbury",realestate.com.au
Canterbury,728000,2,2,1,Apartment,112,24 Apr 2026,"29/4 Charles Street, Canterbury",realestate.com.au
Canterbury,725000,2,2,1,Apartment,NA,23 Apr 2026,"25/231-235 Canterbury Road, Canterbury",realestate.com.au
Canterbury,610000,2,1,1,Unit,NA,23 Apr 2026,"2/17 Wonga Street, Canterbury",realestate.com.au
Canterbury,955000,2,2,1,Apartment,122,22 Apr 2026,"82/20 Close Street, Canterbury",realestate.com.au
Canterbury,1325000,3,2,2,Apartment,219,20 Apr 2026,"79/20 Close Street, Canterbury",realestate.com.au
Canterbury,800000,2,2,1,Apartment,112,20 Apr 2026,"527/2E Charles Street, Canterbury",realestate.com.au
Canterbury,2050000,3,1,2,House,562.8,15 Apr 2026,"27 Howard Street, Canterbury",realestate.com.au
Canterbury,1590000,2,2,NA,House,215,15 Apr 2026,"48 Church Street, Canterbury",realestate.com.au
Canterbury,780000,2,2,1,Apartment,NA,15 Apr 2026,"223/2E Charles Street, Canterbury",realestate.com.au
Canterbury,770000,2,2,1,Apartment,NA,15 Apr 2026,"402B/1-3 Charles Street, Canterbury",realestate.com.au
Canterbury,1160000,2,1,1,Apartment,NA,09 Apr 2026,"4/30-36 Minter Street, Canterbury",realestate.com.au
Canterbury,1630000,3,1,2,House,461,28 Mar 2026,"21 Page Street, Canterbury",realestate.com.au
Canterbury,620000,2,2,1,Apartment,NA,24 Jun 2026,"102/396 Canterbury Road, Canterbury",realestate.com.au
Canterbury,590000,2,2,1,Apartment,NA,11 Jun 2026,"709/314 Canterbury Road (Access via Canton St), Canterbury",realestate.com.au
Canterbury,597000,2,1,1,Apartment,NA,10 Jun 2026,"2/4 Howard Street, Canterbury",realestate.com.au
Canterbury,580000,1,1,1,Apartment,84,10 Jun 2026,"913/2C Charles Street, Canterbury",realestate.com.au
Canterbury,1265000,2,2,2,Apartment,NA,04 Jun 2026,"7/11 Rome Street, Canterbury",realestate.com.au
Canterbury,680000,2,1,1,Apartment,NA,03 Jun 2026,"2/6 Kresser Grove, Canterbury",realestate.com.au
Canterbury,1845000,3,1,3,House,461.6,01 Jun 2026,"17 Page Street, Canterbury",realestate.com.au
Canterbury,870000,2,2,2,Apartment,138,29 May 2026,"C113/1 Charles Street, Canterbury",realestate.com.au
Canterbury,1787000,4,2,2,House,436.3,28 May 2026,"4 Glenore Road, Canterbury",realestate.com.au
Canterbury,630000,2,1,1,Apartment,NA,28 May 2026,"2/14 Northcote Street, Canterbury",realestate.com.au
Canterbury,763000,2,2,1,Apartment,NA,26 May 2026,"116/364 Canterbury Road, Canterbury",realestate.com.au
Canterbury,2363800,5,3,3,House,NA,23 May 2026,"13 Cooks Avenue, Canterbury",realestate.com.au
Canterbury,735000,2,2,1,Unit,117,23 May 2026,"623/2E Charles Street, Canterbury",realestate.com.au
Canterbury,821000,2,2,1,Apartment,NA,21 May 2026,"211/ 2A Cooks Avenue, Canterbury",realestate.com.au
